"Geslacht";"Leeftijd";"Burgerlijke staat";"Perioden";"Bevolking (aantal)"
"Mannen";"59 jaar";"Totaal burgerlijke staat";"2019";118609
"Mannen";"60 jaar";"Totaal burgerlijke staat";"2019";115023
"Mannen";"61 jaar";"Totaal burgerlijke staat";"2019";111853
"Mannen";"62 jaar";"Totaal burgerlijke staat";"2019";109561
"Mannen";"63 jaar";"Totaal burgerlijke staat";"2019";105576
"Mannen";"64 jaar";"Totaal burgerlijke staat";"2019";103986
"Mannen";"65 jaar";"Totaal burgerlijke staat";"2019";101712
"Mannen";"66 jaar";"Totaal burgerlijke staat";"2019";101055
"Mannen";"67 jaar";"Totaal burgerlijke staat";"2019";96863
"Mannen";"68 jaar";"Totaal burgerlijke staat";"2019";96136
"Mannen";"69 jaar";"Totaal burgerlijke staat";"2019";96240
"Mannen";"70 jaar";"Totaal burgerlijke staat";"2019";98005
"Mannen";"71 jaar";"Totaal burgerlijke staat";"2019";100939
"Mannen";"72 jaar";"Totaal burgerlijke staat";"2019";102579
"Mannen";"73 jaar";"Totaal burgerlijke staat";"2019";71239
"Mannen";"74 jaar";"Totaal burgerlijke staat";"2019";72654
"Mannen";"75 jaar";"Totaal burgerlijke staat";"2019";67222
"Mannen";"76 jaar";"Totaal burgerlijke staat";"2019";60011
"Mannen";"77 jaar";"Totaal burgerlijke staat";"2019";54990
"Mannen";"78 jaar";"Totaal burgerlijke staat";"2019";53804
"Mannen";"79 jaar";"Totaal burgerlijke staat";"2019";48893
"Mannen";"80 jaar";"Totaal burgerlijke staat";"2019";45279
"Mannen";"81 jaar";"Totaal burgerlijke staat";"2019";39418
"Mannen";"82 jaar";"Totaal burgerlijke staat";"2019";36003
"Mannen";"83 jaar";"Totaal burgerlijke staat";"2019";32090
"Mannen";"84 jaar";"Totaal burgerlijke staat";"2019";28364
"Mannen";"85 jaar";"Totaal burgerlijke staat";"2019";24436
"Mannen";"86 jaar";"Totaal burgerlijke staat";"2019";21614
"Mannen";"87 jaar";"Totaal burgerlijke staat";"2019";18279
"Mannen";"88 jaar";"Totaal burgerlijke staat";"2019";15270
"Mannen";"89 jaar";"Totaal burgerlijke staat";"2019";11959
"Mannen";"90 jaar";"Totaal burgerlijke staat";"2019";9545
"Mannen";"91 jaar";"Totaal burgerlijke staat";"2019";7374
"Mannen";"92 jaar";"Totaal burgerlijke staat";"2019";5724
"Mannen";"93 jaar";"Totaal burgerlijke staat";"2019";4129
"Mannen";"94 jaar";"Totaal burgerlijke staat";"2019";2901
"Mannen";"95 jaar";"Totaal burgerlijke staat";"2019";2166
"Mannen";"96 jaar";"Totaal burgerlijke staat";"2019";1333
"Mannen";"97 jaar";"Totaal burgerlijke staat";"2019";857
"Mannen";"98 jaar";"Totaal burgerlijke staat";"2019";565
"Mannen";"99 jaar";"Totaal burgerlijke staat";"2019";662
"Vrouwen";"0 jaar";"Totaal burgerlijke staat";"2019";82270
"Vrouwen";"1 jaar";"Totaal burgerlijke staat";"2019";83170
"Vrouwen";"2 jaar";"Totaal burgerlijke staat";"2019";84851
"Vrouwen";"3 jaar";"Totaal burgerlijke staat";"2019";84620
"Vrouwen";"4 jaar";"Totaal burgerlijke staat";"2019";87493
"Vrouwen";"5 jaar";"Totaal burgerlijke staat";"2019";85223
"Vrouwen";"6 jaar";"Totaal burgerlijke staat";"2019";87766
"Vrouwen";"7 jaar";"Totaal burgerlijke staat";"2019";89450
"Vrouwen";"8 jaar";"Totaal burgerlijke staat";"2019";92382
"Vrouwen";"9 jaar";"Totaal burgerlijke staat";"2019";92388
"Vrouwen";"10 jaar";"Totaal burgerlijke staat";"2019";92558
"Vrouwen";"11 jaar";"Totaal burgerlijke staat";"2019";91341
"Vrouwen";"12 jaar";"Totaal burgerlijke staat";"2019";92526
"Vrouwen";"13 jaar";"Totaal burgerlijke staat";"2019";93660
"Vrouwen";"14 jaar";"Totaal burgerlijke staat";"2019";96699
"Vrouwen";"15 jaar";"Totaal burgerlijke staat";"2019";99652
"Vrouwen";"16 jaar";"Totaal burgerlijke staat";"2019";100355
"Vrouwen";"17 jaar";"Totaal burgerlijke staat";"2019";101393
"Vrouwen";"18 jaar";"Totaal burgerlijke staat";"2019";106032
"Vrouwen";"19 jaar";"Totaal burgerlijke staat";"2019";106283
"Vrouwen";"20 jaar";"Totaal burgerlijke staat";"2019";107143
"Vrouwen";"21 jaar";"Totaal burgerlijke staat";"2019";105340
"Vrouwen";"22 jaar";"Totaal burgerlijke staat";"2019";104417
"Vrouwen";"23 jaar";"Totaal burgerlijke staat";"2019";105833
"Vrouwen";"24 jaar";"Totaal burgerlijke staat";"2019";108910
"Vrouwen";"25 jaar";"Totaal burgerlijke staat";"2019";109076
"Vrouwen";"26 jaar";"Totaal burgerlijke staat";"2019";110115
"Vrouwen";"27 jaar";"Totaal burgerlijke staat";"2019";111930
"Vrouwen";"28 jaar";"Totaal burgerlijke staat";"2019";112261
"Vrouwen";"29 jaar";"Totaal burgerlijke staat";"2019";109410
"Vrouwen";"30 jaar";"Totaal burgerlijke staat";"2019";108154
"Vrouwen";"31 jaar";"Totaal burgerlijke staat";"2019";107756
"Vrouwen";"32 jaar";"Totaal burgerlijke staat";"2019";108164
"Vrouwen";"33 jaar";"Totaal burgerlijke staat";"2019";105682
"Vrouwen";"34 jaar";"Totaal burgerlijke staat";"2019";103775
"Vrouwen";"35 jaar";"Totaal burgerlijke staat";"2019";101374
"Vrouwen";"36 jaar";"Totaal burgerlijke staat";"2019";101559
"Vrouwen";"37 jaar";"Totaal burgerlijke staat";"2019";104181
"Vrouwen";"38 jaar";"Totaal burgerlijke staat";"2019";105319
"Vrouwen";"39 jaar";"Totaal burgerlijke staat";"2019";102125
"Vrouwen";"40 jaar";"Totaal burgerlijke staat";"2019";102294
"Vrouwen";"41 jaar";"Totaal burgerlijke staat";"2019";101063
"Vrouwen";"42 jaar";"Totaal burgerlijke staat";"2019";101442
"Vrouwen";"43 jaar";"Totaal burgerlijke staat";"2019";102780
"Vrouwen";"44 jaar";"Totaal burgerlijke staat";"2019";107349
"Vrouwen";"45 jaar";"Totaal burgerlijke staat";"2019";111095
"Vrouwen";"46 jaar";"Totaal burgerlijke staat";"2019";120235
"Vrouwen";"47 jaar";"Totaal burgerlijke staat";"2019";125015
"Vrouwen";"48 jaar";"Totaal burgerlijke staat";"2019";130281
"Vrouwen";"49 jaar";"Totaal burgerlijke staat";"2019";132553
"Vrouwen";"50 jaar";"Totaal burgerlijke staat";"2019";127180
"Vrouwen";"51 jaar";"Totaal burgerlijke staat";"2019";125233
"Vrouwen";"52 jaar";"Totaal burgerlijke staat";"2019";125869
"Vrouwen";"53 jaar";"Totaal burgerlijke staat";"2019";127121
"Vrouwen";"54 jaar";"Totaal burgerlijke staat";"2019";129466
"Vrouwen";"55 jaar";"Totaal burgerlijke staat";"2019";127174
"Vrouwen";"56 jaar";"Totaal burgerlijke staat";"2019";125128
"Vrouwen";"57 jaar";"Totaal burgerlijke staat";"2019";123747
"Vrouwen";"58 jaar";"Totaal burgerlijke staat";"2019";120125
"Vrouwen";"59 jaar";"Totaal burgerlijke staat";"2019";118757
"Vrouwen";"60 jaar";"Totaal burgerlijke staat";"2019";115238
"Vrouwen";"61 jaar";"Totaal burgerlijke staat";"2019";112724
"Vrouwen";"62 jaar";"Totaal burgerlijke staat";"2019";110126
"Vrouwen";"63 jaar";"Totaal burgerlijke staat";"2019";107723
"Vrouwen";"64 jaar";"Totaal burgerlijke staat";"2019";105029
"Vrouwen";"65 jaar";"Totaal burgerlijke staat";"2019";103000
"Vrouwen";"66 jaar";"Totaal burgerlijke staat";"2019";102706
"Vrouwen";"67 jaar";"Totaal burgerlijke staat";"2019";98136
"Vrouwen";"68 jaar";"Totaal burgerlijke staat";"2019";98375
"Vrouwen";"69 jaar";"Totaal burgerlijke staat";"2019";98851
"Vrouwen";"70 jaar";"Totaal burgerlijke staat";"2019";100645
"Vrouwen";"71 jaar";"Totaal burgerlijke staat";"2019";105427
"Vrouwen";"72 jaar";"Totaal burgerlijke staat";"2019";107292
"Vrouwen";"73 jaar";"Totaal burgerlijke staat";"2019";76153
"Vrouwen";"74 jaar";"Totaal burgerlijke staat";"2019";78451
"Vrouwen";"75 jaar";"Totaal burgerlijke staat";"2019";73244
"Vrouwen";"76 jaar";"Totaal burgerlijke staat";"2019";66638
"Vrouwen";"77 jaar";"Totaal burgerlijke staat";"2019";62279
"Vrouwen";"78 jaar";"Totaal burgerlijke staat";"2019";62513
"Vrouwen";"79 jaar";"Totaal burgerlijke staat";"2019";59132
"Vrouwen";"80 jaar";"Totaal burgerlijke staat";"2019";55816
"Vrouwen";"81 jaar";"Totaal burgerlijke staat";"2019";50593
"Vrouwen";"82 jaar";"Totaal burgerlijke staat";"2019";48174
"Vrouwen";"83 jaar";"Totaal burgerlijke staat";"2019";44646
"Vrouwen";"84 jaar";"Totaal burgerlijke staat";"2019";41731
"Vrouwen";"85 jaar";"Totaal burgerlijke staat";"2019";38116
"Vrouwen";"86 jaar";"Totaal burgerlijke staat";"2019";35753
"Vrouwen";"87 jaar";"Totaal burgerlijke staat";"2019";31810
"Vrouwen";"88 jaar";"Totaal burgerlijke staat";"2019";28823
"Vrouwen";"89 jaar";"Totaal burgerlijke staat";"2019";24008
"Vrouwen";"90 jaar";"Totaal burgerlijke staat";"2019";20806
"Vrouwen";"91 jaar";"Totaal burgerlijke staat";"2019";16730
"Vrouwen";"92 jaar";"Totaal burgerlijke staat";"2019";13967
"Vrouwen";"93 jaar";"Totaal burgerlijke staat";"2019";10952
"Vrouwen";"94 jaar";"Totaal burgerlijke staat";"2019";8835
"Vrouwen";"95 jaar";"Totaal burgerlijke staat";"2019";6539
"Vrouwen";"96 jaar";"Totaal burgerlijke staat";"2019";4805
"Vrouwen";"97 jaar";"Totaal burgerlijke staat";"2019";3302
"Vrouwen";"98 jaar";"Totaal burgerlijke staat";"2019";2261
"Vrouwen";"99 jaar";"Totaal burgerlijke staat";"2019";3185
